,precision,recall,f1-score,support
0-0,0.9843581445523193,0.9743726641751201,0.9793399517037832,1873.0
0-20000,0.8719723183391004,0.869265263884098,0.8706166868198307,8697.0
100000-200000,0.30982905982905984,0.30526315789473685,0.3075291622481442,475.0
1000000-2000000,0.4642857142857143,0.40625,0.43333333333333335,96.0
10000000-20000000,0.3333333333333333,0.2222222222222222,0.26666666666666666,9.0
20000-50000,0.3008578431372549,0.32154551407989523,0.31085786641342195,1527.0
200000-500000,0.4252577319587629,0.42857142857142855,0.4269081500646831,385.0
2000000-5000000,0.5423728813559322,0.5423728813559322,0.5423728813559322,59.0
20000000-50000000,0.0,0.0,0.0,4.0
50000-100000,0.24103299856527977,0.23430962343096234,0.2376237623762376,717.0
500000-1000000,0.47560975609756095,0.4406779661016949,0.4574780058651026,177.0
5000000-10000000,0.6153846153846154,0.42105263157894735,0.5,19.0
accuracy,0.7488958541102722,0.7488958541102722,0.7488958541102722,0.7488958541102722
macro avg,0.4636911997365778,0.4304919461079198,0.4443938722372613,14038.0
weighted avg,0.7512335330602277,0.7488958541102722,0.7499660102102297,14038.0
