,0-0,0-20000,100000-200000,1000000-2000000,10000000-20000000,20000-50000,200000-500000,2000000-5000000,20000000-50000000,50000-100000,500000-1000000,5000000-10000000
0-0,1825,47,0,0,0,1,0,0,0,0,0,0
0-20000,29,7560,76,3,0,803,33,3,0,180,8,2
100000-200000,0,65,145,1,0,82,83,0,0,91,8,0
1000000-2000000,0,4,6,39,0,1,11,13,0,1,21,0
10000000-20000000,0,0,0,0,2,0,1,3,2,0,1,0
20000-50000,0,759,59,3,0,491,12,1,0,198,4,0
200000-500000,0,33,65,7,0,32,165,1,0,48,34,0
2000000-5000000,0,1,3,12,0,1,3,32,0,0,5,2
20000000-50000000,0,1,0,0,2,0,0,1,0,0,0,0
50000-100000,0,189,106,4,0,210,34,0,0,168,5,1
500000-1000000,0,11,8,13,0,11,45,0,0,11,78,0
5000000-10000000,0,0,0,2,2,0,1,5,1,0,0,8
